"id" "sex" "dead" "cens" "xli" "xti" "loc" "potEm" "im" "unsex" "outMigr"
468 "m" 0 1 11.21 3.41 "s" 0 1 0 0
469 "m" 0 0 6.36 3.67 "s" 0 1 0 1
470 "m" 0 0 6.53 4.5 "s" 0 1 0 0
471 "m" 0 0 10.49 4.71 "s" 0 1 0 0
472 "m" 0 0 10.72 4.58 "s" 0 1 0 0
473 "m" 0 1 3.42 2.38 "s" 0 1 0 0
474 "m" 0 1 4.08 3.29 "s" 0 1 0 0
475 "m" 0 0 5.66 4.79 "s" 0 1 0 1
476 "m" 0 0 8.19 4.3 "s" 0 1 0 0
477 "m" 0 0 11.64 7 "s" 0 1 0 1
478 "m" 0 0 11.23 9.51 "s" 0 1 0 0
479 "m" 0 0 0.79 0 "s" 1 0 0 0
480 "m" 0 0 1.68 0 "s" 1 0 0 0
481 "m" 0 0 0.82 0 "s" 1 0 0 0
482 "m" 0 0 0.3 0 "s" 1 0 0 0
483 "m" 0 0 0.4 0 "s" 1 0 0 0
484 "m" 0 0 0.36 0 "s" 1 0 0 0
